,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
0,1995,01,46.75232511445651,58.17907754735391,0.837657007449626,0.10801183266993976,0.05050567627425775,0.0038254836061765297,0.6807734601266902,0.10718323601839949,0.21129989003670605,0.0007434138182043459,0.5742407111992194,0.054269208728917245,0.21176452367308377,0.15972555639877956,0.1583006799138879,0.019367478743011136,0.822331841343101,0.0,0.04194867347096814,0.013962240773150371,38.119808011814655,41.38158624514698,129134,0
1,1995,13,53.4182135260952,80.57471285709511,0.7814743158887597,0.15160551225254465,0.06436902830024026,0.0025511435584553515,0.6675640849489957,0.10599685841710269,0.22569636564162932,0.0007426909922723002,0.5289259574215254,0.05608431028144275,0.1738045460115637,0.24118518628546814,0.18048133803209168,0.04136417481460576,0.7781544871533026,0.0,0.10726686001388833,0.03926978621639787,53.722841514920724,66.0317730496454,269291,0
2,1995,27,55.00993767475698,74.67565527108893,0.7867636762154099,0.1744893299643825,0.036573411671588174,0.0021735821486194404,0.5556637949404852,0.2016865049164358,0.24105452220767756,0.0015951779354013821,0.655679016103991,0.040238667843769976,0.11983926451337941,0.18424305153885964,0.01849066942677098,0.03735273524308198,0.9441565953301471,0.0,0.04637584096928369,0.012481354074705471,53.91020086648287,51.533170731707315,164245,0
3,1995,37,47.63119212676954,66.23598872047938,0.855107922619171,0.07759854029733149,0.06430778162516328,0.002985755458334197,0.6729319150994906,0.08501109291090422,0.24094770089918238,0.0011092910904227746,0.547429969520413,0.072833081064643,0.23567079281483477,0.1440661566001092,0.15297849841381742,0.04041137075203716,0.8066101308341455,0.0,0.10013339138968946,0.028914138796159988,40.602567642186635,41.505438030357354,289374,0
4,1995,45,45.436491240325644,56.617733344148824,0.9004366753190569,0.060708684836686136,0.03816515249837768,0.0006894873458792992,0.6766980315812243,0.08240725719229937,0.24030661907852044,0.0005880921479558728,0.496437648712957,0.08307646549859399,0.28421073977936406,0.136275146009085,0.19795046506597447,0.03232478909798832,0.7697247458360372,0.0,0.10823599394332685,0.026193759463551805,34.7347614289283,35.963096774193545,147936,0
5,1995,51,58.381189844058035,95.75523040339338,0.7190171169048181,0.16616037190171168,0.11419267764947835,0.000629833543991945,0.5848754257803295,0.15110435099295186,0.26321043724158616,0.0008097859851325007,0.5879903168448338,0.050588058870155744,0.14339638809743138,0.218025236187579,0.13390603911823304,0.06202360804644487,0.8040703528353221,0.0,0.05862164999250198,0.01720688103858266,69.61292208741412,85.28759960159363,233395,0
0,1996,01,47.48191640622645,61.07104550167802,0.8603284683740481,0.09090858410730412,0.044219469500161666,0.004543478018486102,0.6564182898683227,0.08565710399268583,0.25701591053529416,0.0009086956036972204,0.5436173889774666,0.05466668153285241,0.23544135847205344,0.16627457101762758,0.14607699940906912,0.01796206892707021,0.8359609316638607,0.0,0.025532674017995517,0.01080400049058413,50.41004366812227,52.74871001031992,179378,0
1,1996,13,54.6174272486111,80.30404328750245,0.818909420755591,0.12512338926980232,0.05339875288918855,0.002568437085418117,0.5968523912658587,0.09894909934928077,0.30340299723753555,0.0007955121473249691,0.4717799341762205,0.061074960042491994,0.20326790569300507,0.26387720008828247,0.166785912644035,0.04016851275608579,0.7930455745998792,0.0,0.1359549662513673,0.039220204068268524,51.77295918367347,56.19980211489704,412313,0
2,1996,27,56.899055961314524,75.45599793471402,0.8291385626593015,0.13877574436349033,0.02914757779653655,0.0029381151806715457,0.44522894350787184,0.16162501946450084,0.39162985485629054,0.001516182171336781,0.6171435127892015,0.054029356565068805,0.15227796126769222,0.1765491693780375,0.015674045419900504,0.03611382020538122,0.9482121343747183,0.0,0.08252538580689577,0.021357679667587302,54.13933164506678,56.395433614735225,244034,0
3,1996,37,49.07952227144437,67.88885313156945,0.8839402302256879,0.06983404487826562,0.04373917633657773,0.0024865485594687954,0.5928172548874339,0.08672127503912726,0.31944740278382305,0.0010140672896157658,0.49196849445735824,0.07848834517183578,0.2657805539863495,0.16376260638445653,0.14879238014095073,0.0427552069345533,0.808452412924496,0.0,0.14310850983043313,0.03734221761235773,46.46423024655407,44.82869365738731,431924,0
4,1996,45,46.1141129699059,60.05670298959342,0.9192642257986754,0.05181226481007072,0.02708489105164883,0.0018386183396050648,0.6321987015268704,0.08060502800828603,0.28658748350350766,0.0006087869613358993,0.43257786548668226,0.08192883321280169,0.3215294035930688,0.1639638977074472,0.20813976768035825,0.023926553326060578,0.7679336789935812,0.0,0.14002508692578927,0.03116253794703962,40.46427008257711,42.835059656483544,244749,0
5,1996,51,59.15577540744369,95.15207133208551,0.7443378339905625,0.15959463797876272,0.09538909786960814,0.0006784301610665892,0.503552672227371,0.1400564550812602,0.35548226086851176,0.000908611822857039,0.5435921665546045,0.05385645144681289,0.16109081878040063,0.24146056321818193,0.12268076832215741,0.05664286103690781,0.8206763706409348,0.0,0.09047350790795157,0.022678951098511695,62.68970942688806,64.15357905982906,330174,0
0,1997,01,47.04210569166082,59.51489440533531,0.8640283438310485,0.09620229714709151,0.03523064097814005,0.004538718043719896,0.6550250092626899,0.10228325305668766,0.24184883290107448,0.0008429047795479808,0.49545665061133753,0.06345405705816969,0.2867914042237866,0.1542978881067062,0.1601426454242312,0.022536124490552055,0.8173212300852167,0.0,0.028195628010374212,0.01043442015561319,55.853482260183966,59.154016866400355,215920,0
1,1997,13,54.89181400602273,80.33784779693372,0.8445027042482673,0.11409994643856745,0.03900722072545537,0.002390128587709866,0.5618614410038942,0.10406623898064137,0.3331903686073625,0.0008819514081018714,0.43638069694297116,0.07320398046014506,0.24452606186546819,0.2458892607314156,0.17256647859757646,0.0428370645113224,0.7845964568911011,0.0,0.19009073226129924,0.04758107710832699,56.75290241938901,61.48929327126534,496626,0
2,1997,27,59.067274780144956,77.95811835885227,0.8638619209904811,0.10883995284145404,0.0241099961712113,0.00318812999685357,0.4170915611222521,0.15448214685110562,0.42677346838974795,0.0016528236368943596,0.5787233074668962,0.06518417989999659,0.1620980245724835,0.19399448806062375,0.017267457949664698,0.04154804371642702,0.9411844983339083,0.0,0.1457100507598819,0.0382423964426383,60.4775867003148,65.58534892942109,263791,0
3,1997,37,51.91906330533449,82.98913332012307,0.9027550856360924,0.05995461156246144,0.034901240891467795,0.0023890619099783527,0.5592517263682895,0.08314234546807293,0.3566731097809466,0.0009328183826910782,0.44267746916465084,0.10055744777899495,0.2843600566794657,0.17240502637688854,0.15551334921056273,0.046519409725986935,0.7979672410634503,0.0,0.21248256807330942,0.04772328755855819,110.78485901552808,83.71130870774414,534938,0
4,1997,45,52.47543083425391,90.92462095106823,0.933567035996395,0.04413733234374172,0.020373880082701586,0.0019217515771616392,0.6074093463393946,0.07183043524359858,0.32014393256639984,0.0006162858506070084,0.37256136351587765,0.11096127339235541,0.35306552510205164,0.16341183798971531,0.2231120447436781,0.0240252080793087,0.7528627471770132,0.0,0.19303994592588666,0.04330236441711287,203.96829783216904,109.91361236513887,301808,0
5,1997,51,60.99443881943383,94.84100599784047,0.7802762211766066,0.14296560765243527,0.07585967733036988,0.000898493840588277,0.506579759718577,0.1258521898816983,0.36671684570864105,0.0008512046910836309,0.5082191169014048,0.058084211466567885,0.18717570808933445,0.2465209635426929,0.11278724874355357,0.057046477352438146,0.8301662739040083,0.0,0.14690111576121082,0.031510336619929226,59.72741254739252,65.41687510421878,380637,0
0,1998,01,50.964249526852726,68.13324704274979,0.8830076190662967,0.07443870263415081,0.03968059409759334,0.0028730842019591887,0.5502822421169956,0.08233559846115127,0.3667447857934321,0.0006373736284209804,0.5067741376661665,0.05248363257208042,0.2684781152044662,0.17226411455728682,0.15374432492327003,0.016673040402950878,0.8295826346737791,0.0,0.061295731557839205,0.018715904596607866,57.34570468725004,60.51728955640936,305943,0
1,1998,13,59.23044102368415,96.08920946717208,0.8663517184688065,0.08651207492664442,0.0447926835817073,0.0023435230228417763,0.464159381596322,0.05815296788877766,0.477004696684507,0.0006829538303933731,0.46641753539036457,0.06622724462552512,0.20950985670361869,0.2578453632804916,0.15350351184222666,0.042464306712362156,0.8040321814454112,0.0,0.19771926466801698,0.041650545192679723,84.89421637243636,72.30080333234156,726257,0
2,1998,27,62.559077194176425,89.16084579799045,0.8919078017058434,0.07827939743078409,0.026466379017999014,0.003346421845373556,0.3069110329544703,0.10247430464169398,0.5893733510501025,0.001241311353733212,0.5821536965271009,0.06298482059638398,0.1373312659029687,0.2175302169735464,0.015520657596420245,0.03813299947318917,0.9463463429303905,0.0,0.16513280111931306,0.037736291720965154,68.083888716677,68.87085287966993,468859,0
3,1998,37,54.24502757176688,83.27001881158631,0.9192629116466374,0.04062691711447067,0.038029187232558555,0.002080984006333319,0.455564945792594,0.04785881382638866,0.49584185030661104,0.000734390074406315,0.45465873135069224,0.10310607545508002,0.25181815636272,0.19041703683150776,0.130231415603689,0.04385594245029185,0.8259126419460191,0.0,0.24397787411255897,0.051764954447451016,68.8665084250613,60.08588429101817,785686,0
4,1998,45,51.348297345530945,73.78921599843248,0.9445100296357981,0.02728452815400818,0.026130936344265106,0.002074505865928629,0.49639961791863624,0.04805652844791692,0.4550564549707316,0.00048739866271522693,0.3964632981459257,0.10019838840040167,0.3158294349604448,0.18750887849322787,0.18120943447059687,0.02552352494550442,0.7932670405838987,0.0,0.25019471454113495,0.049097455240147934,63.0417123502232,56.784745086301506,408290,0
5,1998,51,66.01622645526366,106.92843471929028,0.7928179194612939,0.11745283649092804,0.08880568099831654,0.0009235630494615611,0.3900108222216284,0.07438106244822702,0.5351054164551212,0.0005026988750233813,0.5357701146353847,0.055056382438607276,0.1610206290249312,0.24815287390107688,0.09241475830371697,0.05951553857253561,0.8480697031237474,0.0,0.1460949816957486,0.030165272693263502,75.81475130605759,71.6244048278153,598768,0
0,1999,01,49.26618739222678,67.67655771666843,0.8950603029663253,0.07332022590520426,0.02849216193391745,0.0031273091945529397,0.5610518051303706,0.07707101762905098,0.3609534994194025,0.0009236778211759738,0.4518433970231183,0.06723054998416553,0.2939604665892537,0.18696558640346247,0.16434867518209648,0.020442969492241107,0.8152083553256624,0.0,0.14992940462366727,0.037653066610366305,60.37926026975291,64.23611354476958,303136,0
