,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
0,1995,1,46.75232511445650,58.17907754735390,0.837657007449626,0.10801183266994000,0.05050567627425780,0.0038254836061765300,0.6807734601266900,0.10718323601839900,0.21129989003670600,0.0007434138182043460,0.5742407111992190,0.054269208728917200,0.21176452367308400,0.15972555639878000,0.1583006799138880,0.019367478743011100,0.7229854259916060,0.09934641535149530,0.04194867347096810,0.013962240773150400,38.119808011814700,41.38158624514700,129134
1,1995,13,53.4182135260952,80.57471285709510,0.7814743158887600,0.15160551225254500,0.06436902830024030,0.0025511435584553500,0.6675640849489960,0.10599685841710300,0.22569636564162900,0.0007426909922723000,0.5289259574215250,0.05608431028144280,0.1738045460115640,0.24118518628546800,0.18048133803209200,0.04136417481460580,0.6117805645194230,0.16637392263387900,0.10726686001388800,0.03926978621639790,53.722841514920700,66.0317730496454,269291
2,1995,27,55.00993767475700,74.67565527108890,0.7867636762154100,0.1744893299643830,0.036573411671588200,0.0021735821486194400,0.5556637949404850,0.2016865049164360,0.24105452220767800,0.0015951779354013800,0.655679016103991,0.040238667843770000,0.11983926451337900,0.18424305153886000,0.01849066942677100,0.03735273524308200,0.7548418521111750,0.18931474321897200,0.04637584096928370,0.012481354074705500,53.91020086648290,51.533170731707300,164245
3,1995,37,47.63119212676950,66.23598872047940,0.855107922619171,0.07759854029733150,0.06430778162516330,0.002985755458334200,0.6729319150994910,0.08501109291090420,0.24094770089918200,0.0011092910904227700,0.547429969520413,0.072833081064643,0.23567079281483500,0.1440661566001090,0.15297849841381700,0.04041137075203720,0.6691375175378580,0.13747261329628800,0.10013339138968900,0.028914138796160000,40.602567642186600,41.505438030357400,289374
4,1995,45,45.436491240325600,56.617733344148800,0.9004366753190570,0.060708684836686100,0.03816515249837770,0.0006894873458792990,0.6766980315812240,0.08240725719229940,0.24030661907852000,0.0005880921479558730,0.496437648712957,0.08307646549859400,0.28421073977936400,0.136275146009085,0.19795046506597400,0.03232478909798830,0.6417842850962580,0.12794046073977900,0.10823599394332700,0.026193759463551800,34.7347614289283,35.963096774193500,147936
5,1995,51,58.381189844058000,95.75523040339340,0.7190171169048180,0.16616037190171200,0.11419267764947800,0.000629833543991945,0.5848754257803300,0.15110435099295200,0.26321043724158600,0.0008097859851325010,0.5879903168448340,0.050588058870155700,0.14339638809743100,0.218025236187579,0.13390603911823300,0.06202360804644490,0.616564193748795,0.18750615908652700,0.05862164999250200,0.01720688103858270,69.61292208741410,85.28759960159360,233395
0,1996,1,47.48191640622650,61.07104550167800,0.8603284683740480,0.09090858410730410,0.044219469500161700,0.004543478018486100,0.6564182898683230,0.08565710399268580,0.25701591053529400,0.0009086956036972200,0.5436173889774670,0.05466668153285240,0.23544135847205300,0.16627457101762800,0.14607699940906900,0.01796206892707020,0.7066808638740540,0.129280067789807,0.025532674017995500,0.01080400049058410,50.41004366812230,52.74871001031990,179378
1,1996,13,54.6174272486111,80.30404328750250,0.818909420755591,0.12512338926980200,0.05339875288918860,0.002568437085418120,0.5968523912658590,0.09894909934928080,0.30340299723753600,0.0007955121473249690,0.4717799341762210,0.061074960042492000,0.20326790569300500,0.26387720008828200,0.166785912644035,0.04016851275608580,0.5698171049663730,0.2232284696335070,0.1359549662513670,0.039220204068268500,51.77295918367350,56.19980211489700,412313
2,1996,27,56.899055961314500,75.45599793471400,0.8291385626593020,0.13877574436349000,0.02914757779653660,0.0029381151806715500,0.44522894350787200,0.16162501946450100,0.39162985485629100,0.001516182171336780,0.6171435127892020,0.054029356565068800,0.15227796126769200,0.1765491693780380,0.015674045419900500,0.03611382020538120,0.7103436406402390,0.23786849373448000,0.08252538580689580,0.021357679667587300,54.13933164506680,56.395433614735200,244034
3,1996,37,49.07952227144440,67.88885313156950,0.8839402302256880,0.06983404487826560,0.04373917633657770,0.0024865485594688000,0.5928172548874340,0.08672127503912730,0.31944740278382300,0.0010140672896157700,0.49196849445735800,0.07848834517183580,0.2657805539863500,0.16376260638445700,0.14879238014095100,0.0427552069345533,0.6258994637945560,0.18255294912994000,0.14310850983043300,0.03734221761235770,46.46423024655410,44.82869365738730,431924
