,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
102,1990,1,976,180.0,134.0,4,0,0,0,0,2,2,0,3,0,0,1,0,0,4,0,0,0,0.0,0.0,4,0,4,3,134.0,AL,4050055,146.865,23357
103,1990,1,999,0.0,5.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1,0,1,1,5.0,AL,4050055,146.865,23357
104,1990,13,0,2329.67764747655,4091.0,12,30,8,0,45,0,3,0,11,0,7,32,6,0,23,21,0,0,0.0,0.0,50,0,50,11,4091.0,GA,6512602,160.07999999999998,27561
105,1990,13,1,3069.87105899062,3337.0,26,19,1,0,26,2,13,0,4,0,12,30,0,4,21,21,0,0,0.0,0.0,46,0,46,4,3337.0,GA,6512602,160.07999999999998,27561
106,1990,13,3,494.290352996874,672.912638312102,8,7,0,0,13,1,0,0,4,1,3,7,0,2,7,6,0,0,0.0,0.0,15,0,15,4,672.912638312102,GA,6512602,160.07999999999998,27561
107,1990,13,5,1356.29035299687,258.0,5,3,3,0,7,0,4,0,4,0,2,5,0,0,5,6,0,0,0.0,0.0,11,0,11,4,258.0,GA,6512602,160.07999999999998,27561
108,1990,13,6,239.29035299687303,265.0,2,3,0,0,4,0,1,0,0,0,0,5,0,0,4,1,0,0,0.0,0.0,5,0,5,0,265.0,GA,6512602,160.07999999999998,27561
109,1990,13,7,261.290352996873,323.0,2,2,1,0,5,0,0,0,3,0,1,1,3,0,0,2,0,0,0.0,0.0,5,0,5,3,323.0,GA,6512602,160.07999999999998,27561
110,1990,13,8,157.290352996873,28.0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0.0,0.0,2,0,2,0,28.0,GA,6512602,160.07999999999998,27561
111,1990,13,9,6504.161883439029,6227.0,29,87,6,0,97,14,11,0,50,0,8,64,24,1,55,42,0,0,0.0,0.0,122,0,122,50,6227.0,GA,6512602,160.07999999999998,27561
112,1990,13,10,2825.03247097811,2984.0,27,25,0,0,41,0,11,0,1,0,0,51,0,0,52,0,0,0,0.0,0.0,52,0,52,1,2984.0,GA,6512602,160.07999999999998,27561
113,1990,13,11,1401.2258824921798,1304.0,24,3,0,0,12,3,11,0,19,0,1,7,1,0,19,7,1,0,3.0,0.0,27,0,26,19,1301.0,GA,6512602,160.07999999999998,27561
