,year,state,race,sex,age,population
21100,1989,OH,1,1,1,1389525
21101,1989,OH,1,1,2,1140816
21102,1989,OH,1,1,3,948968
21103,1989,OH,1,1,4,645413
21104,1989,OH,1,1,5,502778
21105,1989,OH,1,2,1,1325887
21106,1989,OH,1,2,2,1159817
21107,1989,OH,1,2,3,978934
21108,1989,OH,1,2,4,706678
21109,1989,OH,1,2,5,773164
21110,1989,OH,2,1,1,226579
21111,1989,OH,2,1,2,148189
21112,1989,OH,2,1,3,103948
21113,1989,OH,2,1,4,67385
21114,1989,OH,2,1,5,43959
21115,1989,OH,2,2,1,220972
21116,1989,OH,2,2,2,171557
21117,1989,OH,2,2,3,125929
21118,1989,OH,2,2,4,83038
21119,1989,OH,2,2,5,65719
21120,1989,OK,1,1,1,380833
21121,1989,OK,1,1,2,306939
21122,1989,OK,1,1,3,259801
21123,1989,OK,1,1,4,181348
21124,1989,OK,1,1,5,151682
21125,1989,OK,1,2,1,360184
21126,1989,OK,1,2,2,302737
21127,1989,OK,1,2,3,265606
21128,1989,OK,1,2,4,196738
21129,1989,OK,1,2,5,226227
21130,1989,OK,2,1,1,105953
21131,1989,OK,2,1,2,66907
21132,1989,OK,2,1,3,41456
21133,1989,OK,2,1,4,22587
21134,1989,OK,2,1,5,16196
21135,1989,OK,2,2,1,100992
21136,1989,OK,2,2,2,66164
21137,1989,OK,2,2,3,45825
21138,1989,OK,2,2,4,27178
21139,1989,OK,2,2,5,25019
21140,1989,OR,1,1,1,377181
21141,1989,OR,1,1,2,299692
21142,1989,OR,1,1,3,293403
21143,1989,OR,1,1,4,167650
21144,1989,OR,1,1,5,157817
21145,1989,OR,1,2,1,358161
21146,1989,OR,1,2,2,298089
21147,1989,OR,1,2,3,292730
21148,1989,OR,1,2,4,177898
21149,1989,OR,1,2,5,216907
21150,1989,OR,2,1,1,28575
21151,1989,OR,2,1,2,22206
21152,1989,OR,2,1,3,14602
21153,1989,OR,2,1,4,6251
21154,1989,OR,2,1,5,3741
