,year,state,race,sex,age,state_fips,population
20794,1989,MA,2,1,5,3150,9914
20795,1989,MA,2,2,1,3425,83494
20796,1989,MA,2,2,2,2100,76114
20797,1989,MA,2,2,3,2050,45928
20798,1989,MA,2,2,4,2050,22595
20799,1989,MA,2,2,5,3225,15108
20800,1989,MD,1,1,1,2880,445528
20801,1989,MD,1,1,2,1728,443538
20802,1989,MD,1,1,3,1728,375704
20803,1989,MD,1,1,4,1728,234531
20804,1989,MD,1,1,5,2880,167473
20805,1989,MD,1,2,1,2880,422641
20806,1989,MD,1,2,2,1728,437079
20807,1989,MD,1,2,3,1728,378861
20808,1989,MD,1,2,4,1728,246872
20809,1989,MD,1,2,5,2880,254370
20810,1989,MD,2,1,1,5592,215668
20811,1989,MD,2,1,2,3432,181209
20812,1989,MD,2,1,3,3360,128448
20813,1989,MD,2,1,4,3384,66062
20814,1989,MD,2,1,5,4872,33267
20815,1989,MD,2,2,1,5616,210824
20816,1989,MD,2,2,2,3384,204434
20817,1989,MD,2,2,3,3384,153352
20818,1989,MD,2,2,4,3384,76501
20819,1989,MD,2,2,5,5184,50941
20820,1989,ME,1,1,1,1840,174579
20821,1989,ME,1,1,2,1104,142535
20822,1989,ME,1,1,3,1104,125448
20823,1989,ME,1,1,4,1104,78488
20824,1989,ME,1,1,5,1840,63990
20825,1989,ME,1,2,1,1840,165764
20826,1989,ME,1,2,2,1104,144838
20827,1989,ME,1,2,3,1104,125707
20828,1989,ME,1,2,4,1104,84607
20829,1989,ME,1,2,5,1840,96660
20830,1989,ME,2,1,1,3381,3483
20831,1989,ME,2,1,2,2070,2975
20832,1989,ME,2,1,3,2070,1634
20833,1989,ME,2,1,4,1794,624
20834,1989,ME,2,1,5,1702,266
20835,1989,ME,2,2,1,3404,3326
20836,1989,ME,2,2,2,2047,2472
20837,1989,ME,2,2,3,1932,1569
20838,1989,ME,2,2,4,1633,655
20839,1989,ME,2,2,5,2024,348
20840,1989,MI,1,1,1,10790,1143964
20841,1989,MI,1,1,2,6474,963084
20842,1989,MI,1,1,3,6474,796787
20843,1989,MI,1,1,4,6474,519005
20844,1989,MI,1,1,5,10790,392362
20845,1989,MI,1,2,1,10790,1088034
20846,1989,MI,1,2,2,6474,968252
20847,1989,MI,1,2,3,6474,805354
20848,1989,MI,1,2,4,6474,554339
20849,1989,MI,1,2,5,10790,582296
20850,1989,MI,2,1,1,18902,266195
20851,1989,MI,2,1,2,11440,171555
20852,1989,MI,2,1,3,11232,123656
20853,1989,MI,2,1,4,10296,68386
20854,1989,MI,2,1,5,12922,47133
20855,1989,MI,2,2,1,18148,262999
